When,X,Y,Type
1112757331341656,741.0,397.0,MOVE
1112757339432731,722.0,397.0,MOVE
1112757346809603,707.0,397.0,MOVE
1112757354532408,687.0,397.0,MOVE
1112757364872346,661.0,396.0,MOVE
1112757372898219,648.0,396.0,MOVE
1112757380741768,630.0,395.0,MOVE
1112757388361940,612.0,395.0,MOVE
1112757396420414,592.0,394.0,MOVE
1112757403659638,573.0,393.0,MOVE
1112757411834631,550.0,392.0,MOVE
1112757419338888,527.0,389.0,MOVE
1112757426419334,508.0,386.0,MOVE
1112757433823977,480.0,383.0,MOVE
1112757442978810,451.0,376.0,MOVE
1112757450654524,432.0,371.0,MOVE
1112757458499884,419.0,367.0,MOVE
1112757465882794,401.0,362.0,MOVE
1112757474450809,378.0,355.0,MOVE
1112757482141013,368.0,352.0,MOVE
1112757490792946,349.0,347.0,MOVE
1112757498728260,329.0,338.0,MOVE
1112757507001659,314.0,330.0,MOVE
1112757514845812,300.0,324.0,MOVE
1112757522773882,283.0,314.0,MOVE
1112757530903596,274.0,309.0,MOVE
1112757538604667,266.0,303.0,MOVE
1112757546906440,250.0,290.0,MOVE
1112757554515142,241.0,283.0,MOVE
1112757563089798,235.0,277.0,MOVE
1112757570942403,229.0,269.0,MOVE
1112757579290663,224.0,261.0,MOVE
1112757587248316,221.0,253.0,MOVE
1112757595550089,219.0,246.0,MOVE
1112757603418391,219.0,242.0,MOVE
1112757611289108,219.0,239.0,MOVE
1112757619057796,221.0,235.0,MOVE
1112757626329017,224.0,230.0,MOVE
1112757634226901,228.0,225.0,MOVE
1112757642147123,234.0,220.0,MOVE
1112757650838297,244.0,216.0,MOVE
1112757658980688,255.0,213.0,MOVE
1112757666903929,266.0,211.0,MOVE
1112757675575180,278.0,211.0,MOVE
1112757683515928,300.0,211.0,MOVE
1112757692176313,316.0,214.0,MOVE
1112757699976998,345.0,220.0,MOVE
1112757708880682,359.0,224.0,MOVE
1112757716960890,375.0,229.0,MOVE
1112757725795750,409.0,238.0,MOVE
1112757733669485,428.0,247.0,MOVE
1112757742512193,452.0,258.0,MOVE
1112757750452338,470.0,270.0,MOVE
1112757759174302,501.0,284.0,MOVE
1112757767227946,512.0,295.0,MOVE
1112757776229433,534.0,311.0,MOVE
1112757784341638,555.0,325.0,MOVE
1112757792698954,572.0,342.0,MOVE
1112757800783992,598.0,354.0,MOVE
1112757809777027,617.0,370.0,MOVE
1112757817725624,644.0,386.0,MOVE
1112757826166254,662.0,400.0,MOVE
1112757834078023,690.0,417.0,MOVE
1112757842705807,713.0,432.0,MOVE
1112757850740736,737.0,444.0,MOVE
1112757859463303,755.0,457.0,MOVE
1112757867539889,786.0,469.0,MOVE
1112757876276342,834.0,494.0,MOVE
1112757884491180,854.0,504.0,MOVE
1112757893363471,883.0,516.0,MOVE
1112757901720787,904.0,529.0,MOVE
1112757910073877,933.0,537.0,MOVE
1112757918126314,964.0,548.0,MOVE
1112757926491478,981.0,557.0,MOVE
1112757934480524,1007.0,570.0,MOVE
1112757943142720,1026.0,573.0,MOVE
1112757951291148,1048.0,579.0,MOVE
1112757960036658,1071.0,584.0,MOVE
1112757968193538,1098.0,593.0,MOVE
1112757976724726,1122.0,602.0,MOVE
1112757984873155,1138.0,606.0,MOVE
1112757993454451,1162.0,611.0,MOVE
1112758001768903,1179.0,615.0,MOVE
1112758010403328,1199.0,618.0,MOVE
1112758018661634,1211.0,620.0,MOVE
1112758018825846,1223.0,620.0,MOVE
1112758029721207,1239.0,621.0,MOVE
1112758042520706,1261.0,621.0,MOVE
1112758052509277,1278.0,620.0,MOVE
1112758060672195,1291.0,618.0,MOVE
1112758069048830,1302.0,616.0,MOVE
1112758077179147,1311.0,614.0,MOVE
1112758085663245,1318.0,611.0,MOVE
1112758093680666,1325.0,608.0,MOVE
1112758102135785,1332.0,604.0,MOVE
1112758110435144,1339.0,598.0,MOVE
1112758119009800,1344.0,589.0,MOVE
1112758127208941,1347.0,583.0,MOVE
1112758135766693,1347.0,577.0,MOVE
1112758135948413,1347.0,572.0,MOVE
1112758144119179,1344.0,563.0,MOVE
1112758160825963,1335.0,547.0,MOVE
