When,X,Y,Typestate,predX,predY
1112757220367388,978,368,MOVE,920.612,384.995
1112757228322626,964,371,MOVE,906.038,388.796
1112757236527201,945,375,MOVE,887.977,391.444
1112757244664158,928,380,MOVE,869.413,397.276
1112757251818861,904,386,MOVE,847.271,404.255
1112757259559174,889,389,MOVE,826.584,408.361
1112757267271112,875,391,MOVE,811.751,407.864
1112757274943204,859,392,MOVE,797.692,404.764
1112757284967396,841,394,MOVE,778.768,403.579
1112757291806956,824,395,MOVE,763.729,403.341
1112757299367360,808,396,MOVE,747.759,402.505
1112757307538730,794,396,MOVE,733.495,400.542
1112757316127875,778,397,MOVE,718.772,400.045
1112757324138655,759,398,MOVE,701.063,401.351
1112757331341656,741,397,MOVE,682.885,399.1
1112757339432731,722,397,MOVE,662.142,397.293
1112757346809603,707,397,MOVE,645.661,397.371
1112757354532408,687,397,MOVE,626.922,397.262
1112757364872346,661,396,MOVE,595.838,395.521
1112757372898219,648,396,MOVE,577.941,394.802
1112757380741768,630,395,MOVE,563.159,393.711
1112757388361940,612,395,MOVE,547.165,393.4
1112757396420414,592,394,MOVE,527.99,392.619
1112757403659638,573,393,MOVE,509.394,390.616
1112757411834631,550,392,MOVE,485.694,388.973
1112757419338888,527,389,MOVE,461.457,384.262
1112757426419334,508,386,MOVE,440.661,377.836
1112757433823977,480,383,MOVE,414.093,373.147
1112757442978810,451,376,MOVE,378.528,361.983
1112757450654524,432,371,MOVE,354.966,351.36
1112757458499884,419,367,MOVE,341.902,344.671
1112757465882794,401,362,MOVE,330.199,339.786
1112757474450809,378,355,MOVE,310.283,332.115
1112757482141013,368,352,MOVE,298.463,327.732
1112757490792946,349,347,MOVE,284.607,324.983
1112757498728260,329,338,MOVE,267.132,314.89
1112757507001659,314,330,MOVE,251.521,301.574
1112757514845812,300,324,MOVE,238.757,293.449
1112757522773882,283,314,MOVE,224.557,283.135
1112757530903596,274,309,MOVE,215.372,275.283
1112757538604667,266,303,MOVE,212.13,270.083
1112757546906440,250,290,MOVE,202.8,257.381
1112757554515142,241,283,MOVE,193.421,247.08
1112757563089798,235,277,MOVE,189.649,240.489
1112757570942403,229,269,MOVE,189.842,233.093
1112757579290663,224,261,MOVE,190.531,224.746
1112757587248316,221,253,MOVE,193.244,216.371
1112757595550089,219,246,MOVE,197.712,209.046
1112757603418391,219,242,MOVE,204.206,205.952
1112757611289108,219,239,MOVE,211.123,206.703
1112757619057796,221,235,MOVE,218.609,207.79
1112757626329017,224,230,MOVE,226.673,206.899
1112757634226901,228,225,MOVE,235.229,203.813
